Company,TypeName,Ram,Gpu,OpSys,Weight,PPI,SSD_GB,Cpu_Family,Cpu_Clockspeed,target
Lenovo,Notebook,12,AMD Radeon 530,Windows 10,2.2,141.21,512,A12-Series,3.6,949
Microsoft,Ultrabook,8,Intel Iris Plus Graphics 640,Windows 10 S,1.25,200.84,256,Core i7,2.5,1799
HP,Notebook,6,AMD Radeon 530,Windows 10,1.91,141.21,128,A10-Series,2.5,568.9
Lenovo,2 in 1 Convertible,16,Intel UHD Graphics 620,Windows 10,1.4,316.97,512,Core i7,1.8,1849
Asus,Ultrabook,16,Nvidia GeForce MX150,Windows 10,1.5,141.21,256,Core i7,1.8,1262
Acer,Notebook,6,AMD Radeon R5,Windows 10,2.1,100.45,0,A9-Series,3,409
HP,Notebook,16,Intel UHD Graphics 620,Windows 10,2.1,141.21,512,Core i7,1.8,1159
Dell,Workstation,16,Nvidia Quadro M1200,Windows 10,2.8,282.42,256,Xeon,3,3055
Lenovo,Notebook,8,Intel HD Graphics 630,Windows 10,1.7,157.35,256,Core i5,2.5,1474
HP,Ultrabook,8,Intel HD Graphics 515,Windows 10,1.09,352.47,240,Core M,1.2,3100
Asus,Gaming,12,Nvidia GeForce GTX 1050,Windows 10,2.2,127.34,128,Core i5,2.5,1369.9
Lenovo,2 in 1 Convertible,8,Intel HD Graphics 520,Windows 10,1.8,157.35,256,Core i7,2.5,1669
LG,Ultrabook,8,Intel HD Graphics 620,Windows 10,0.98,157.35,512,Core i7,2.7,1899
Acer,Notebook,4,Intel HD Graphics 500,Windows 10,1.6,157.35,0,Celeron Quad Core,1.1,329
Toshiba,Notebook,8,Intel HD Graphics 620,Windows 10,2,100.45,128,Core i5,2.5,793
Asus,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,3,127.34,128,Core i5,2.5,938
Lenovo,Notebook,8,Intel HD Graphics 520,Windows 10,1.8,157.35,256,Core i5,2.3,1191
Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.88,141.21,256,Core i5,1.6,1096.16
Lenovo,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.32,157.35,256,Core i5,2.5,1799
Dell,Notebook,8,AMD Radeon 530,Windows 10,2.2,141.21,256,Core i5,1.6,797.41
Dell,Notebook,8,Nvidia GeForce GTX 940MX,Windows 10,2.16,141.21,512,Core i7,1.8,1262
MSI,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.4,141.21,256,Core i7,2.8,1799
HP,Notebook,4,Intel UHD Graphics 620,Windows 10,1.49,165.63,0,Core i5,1.6,675
Toshiba,Notebook,8,Nvidia GeForce 930M,Windows 10,2.2,141.21,256,Core i7,2.5,1043
HP,Notebook,6,AMD Radeon R5 M330,Windows 10,2.19,100.45,0,Core i7,2.5,764
Dell,Notebook,4,Intel HD Graphics 520,Windows 10,1.6,157.35,128,Core i3,2,735.87
Asus,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.5,141.21,256,Core i7,2.8,999
Dell,Notebook,4,AMD Radeon R5 M430,Linux,2.2,141.21,256,Core i3,2,485
Dell,Notebook,8,Intel HD Graphics 620,Windows 10,1.9,141.21,256,Core i5,2.5,1116.99
Asus,Ultrabook,8,Intel HD Graphics 520,Windows 10,1.45,165.63,256,Core i7,2.5,1280
Acer,Notebook,4,Intel HD Graphics,Chrome OS,2.2,141.21,0,Celeron Dual Core,1.5,359
HP,Ultrabook,4,Intel HD Graphics 520,Windows 10,1.26,176.23,0,Core i5,2.3,1579
HP,Ultrabook,4,Intel HD Graphics 520,Windows 10,1.26,125.37,256,Core i5,2.3,1244
Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.23,276.05,256,Core i5,1.6,1869
Acer,Notebook,4,Nvidia GeForce GTX 940MX,Windows 10,2.23,141.21,256,Core i5,2.5,691
Lenovo,Notebook,6,Nvidia GeForce GTX 940M,Windows 10,2.8,106.11,0,Core i5,2.5,649
Lenovo,2 in 1 Convertible,4,Intel HD Graphics 520,Windows 10,1.8,157.35,128,Core i7,2.5,638
Dell,Workstation,8,Nvidia Quadro M1200,Windows 10,2,141.21,256,Core i7,2.7,2135
Dell,Notebook,16,AMD Radeon R7 M445,Linux,2.36,141.21,256,Core i7,2.7,899
Lenovo,Notebook,4,Intel HD Graphics 620,Windows 10,1.44,165.63,128,Core i5,2.5,881
Asus,Gaming,8,Nvidia GeForce GTX 960M,Windows 10,3.52,127.34,128,Core i7,2.6,1312.49
Lenovo,Notebook,4,Intel HD Graphics 505,No OS,2.2,100.45,0,Pentium Quad Core,1.1,359.99
Acer,Notebook,8,Intel HD Graphics 620,Windows 10,1.56,157.35,256,Core i5,2.5,902
HP,Notebook,8,Intel HD Graphics 520,Windows 10,1.84,141.21,256,Core i7,2.5,1228.99
Apple,Ultrabook,8,Intel Iris Plus Graphics 650,macOS,1.37,226.98,512,Core i5,3.1,2040
Dell,Notebook,8,Intel HD Graphics 620,Windows 10,1.9,141.21,128,Core i5,2.5,945
Lenovo,Notebook,4,Intel HD Graphics 400,Chrome OS,1.5,111.94,0,Celeron Quad Core,1.6,325
Dell,Ultrabook,8,AMD Radeon 530,Windows 10,1.4,165.63,256,Core i7,1.8,955
Asus,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.25,157.35,256,Core i7,2.7,1049
Dell,Notebook,4,Intel HD Graphics 520,Linux,2.25,100.45,0,Core i3,2,359
Dell,Ultrabook,16,Intel UHD Graphics 620,Windows 10,1.2,276.05,512,Core i7,1.8,1869
HP,Notebook,4,Intel HD Graphics 520,Windows 10,2.07,141.21,0,Core i5,2.3,910
MSI,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.2,141.21,256,Core i5,2.5,1027.74
Dell,Notebook,8,Nvidia GeForce GTX 930MX,Windows 10,1.64,157.35,256,Core i5,2.8,1179
Lenovo,Notebook,4,Intel HD Graphics 505,Windows 10,2.2,100.45,0,Pentium Quad Core,1.1,309
HP,Notebook,4,Intel HD Graphics 520,No OS,1.86,100.45,0,Core i3,2,364.9
Acer,Notebook,4,Intel HD Graphics 520,Windows 10,1.6,117.83,128,Core i5,2.3,655
Dell,Notebook,8,Intel UHD Graphics 620,Windows 10,2.02,141.21,128,Core i7,1.8,855
Acer,Notebook,4,AMD Radeon R5,Windows 10,2.1,100.45,0,A9-Series,3,395
HP,Notebook,8,Intel HD Graphics 620,Windows 10,2.04,141.21,0,Core i5,2.5,806
HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.63,157.35,256,Core i5,1.6,860
Microsoft,Ultrabook,4,Intel HD Graphics 615,Windows 10 S,1.252,200.84,128,Core M,2.2,989
Lenovo,Ultrabook,8,Intel HD Graphics 520,Windows 10,1.17,209.8,512,Core i7,2.5,1686.64
Asus,Notebook,4,Nvidia GeForce 920,Linux,2.1,141.21,0,Core i5,2.5,519
HP,Notebook,4,Intel HD Graphics 400,Windows 10,2.1,100.45,0,Celeron Dual Core,1.6,347
Lenovo,Notebook,4,Intel HD Graphics 520,No OS,1.9,100.45,0,Core i3,2,450
HP,Ultrabook,4,Intel HD Graphics 620,Windows 10,1.26,176.23,0,Core i5,2.5,1539
MSI,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,2.8,127.34,256,Core i7,2.8,2249
Dell,Notebook,4,AMD Radeon R5 M315,Windows 7,2.24,100.45,0,Core i5,2.3,769.15
LG,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.09,141.21,512,Core i7,1.8,2299
Lenovo,Notebook,8,Intel HD Graphics 520,Windows 10,2.2,100.45,0,Core i3,2,459
Microsoft,Ultrabook,8,Intel HD Graphics 620,Windows 10 S,1.252,200.84,256,Core i5,2.5,1340
Lenovo,Notebook,8,Intel HD Graphics 405,No OS,2.2,100.45,0,Celeron Quad Core,1.6,329
Asus,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.1,157.35,256,Core i5,2.5,1135
Lenovo,Notebook,8,Intel HD Graphics 620,No OS,1.7,157.35,256,Core i3,2.7,599
Dell,Notebook,4,AMD Radeon R5 M430,Linux,2.25,141.21,0,Core i3,2,428
Lenovo,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.13,157.35,0,Core i7,2.7,2049
Asus,Gaming,32,Nvidia GeForce GTX 1080,Windows 10,4.7,127.34,512,Core i7,2.9,3890
HP,Notebook,8,Intel UHD Graphics 620,Windows 10,2.1,141.21,0,Core i5,1.6,794
Asus,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.25,157.35,256,Core i7,1.8,1099
Acer,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,4.2,127.34,256,Core i7,2.8,2599
Lenovo,Notebook,4,AMD Radeon R5,Windows 10,2.6,106.11,128,A8-Series,2.2,489
Asus,Notebook,4,Nvidia GeForce 920MX,Windows 10,2,127.34,0,Core i3,2,564
Lenovo,Notebook,8,Nvidia GeForce GTX 960M,Windows 10,2.6,141.21,128,Core i5,2.3,789
Dell,2 in 1 Convertible,8,Intel UHD Graphics 620,Windows 10,2.08,141.21,0,Core i7,1.8,819
Lenovo,Gaming,16,Nvidia GeForce GTX 960M,Windows 10,2.6,141.21,128,Core i7,2.6,1029
Acer,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.6,157.35,256,Core i5,1.6,770
Microsoft,Ultrabook,16,Intel Iris Plus Graphics 640,Windows 10 S,1.25,200.84,512,Core i7,2.5,2589
HP,Netbook,8,Intel HD Graphics 515,Windows 10,0.97,176.23,512,Core M,1.2,1908
Samsung,Notebook,16,Nvidia GeForce GTX 1050,Windows 10,2.5,141.21,128,Core i7,2.8,1699
Lenovo,2 in 1 Convertible,16,Intel HD Graphics 620,Windows 10,1.42,209.8,512,Core i7,2.7,2509
HP,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.48,157.35,512,Core i7,2.7,2089
HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.11,165.63,256,Core i5,2.5,1149
Lenovo,Notebook,6,Nvidia GeForce GTX 940MX,Windows 10,2.8,106.11,128,Core i7,2.7,949
Acer,Notebook,4,Nvidia GeForce GTX 940MX,Windows 10,2.23,141.21,0,Core i3,2,544
Lenovo,Notebook,4,Intel HD Graphics 520,No OS,2.1,100.45,0,Core i5,2.3,398
HP,Notebook,4,AMD Radeon R4 Graphics,Windows 10,1.86,100.45,256,A6-Series,2.5,369
HP,Notebook,8,AMD Radeon R5 520,Windows 10,1.91,100.45,256,Core i5,2.5,618.99
Lenovo,Notebook,4,Intel HD Graphics 520,Windows 7,2.32,141.21,0,Core i7,2.5,825
Lenovo,Notebook,8,Nvidia GeForce GTX 940MX,Windows 10,1.87,157.35,256,Core i7,2.7,859
MSI,Gaming,32,Nvidia GTX 980 SLI,Windows 10,4.4,119.72,512,Core i7,2.9,2799
Lenovo,Netbook,16,Intel HD Graphics 520,Windows 10,1.3,176.23,512,Core i7,2.5,1650
MSI,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,1.6,157.35,256,Core i7,2.8,1891
Lenovo,Notebook,4,Intel HD Graphics 500,Windows 10,2.2,100.45,0,Celeron Dual Core,1.1,419
Asus,Notebook,4,Nvidia GeForce 920M,Windows 10,2.2,100.45,0,Core i7,2.5,720.32
Apple,Ultrabook,8,Intel HD Graphics 6000,macOS,1.34,127.68,0,Core i5,1.8,1158.7
HP,Notebook,4,Intel HD Graphics 520,Windows 7,1.88,100.45,0,Core i5,2.3,932
Asus,2 in 1 Convertible,8,Intel HD Graphics 515,Chrome OS,1.2,176.23,0,Core M,1.2,1159
Dell,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.65,141.21,0,Core i5,2.5,999
Dell,Notebook,32,Nvidia GeForce GTX 1050,Windows 10,2.06,282.42,1024,Core i7,2.8,2639
Lenovo,2 in 1 Convertible,8,AMD Radeon R7 M460,Windows 10,2.08,141.21,256,Core i5,2.5,959
Dell,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.36,157.35,256,Core i5,2.5,1639
MSI,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,4.14,127.34,512,Core i7,2.8,2499
Toshiba,Notebook,4,Intel HD Graphics 520,Windows 10,1.75,111.94,0,Core i5,2.3,915
Acer,Notebook,4,Nvidia GeForce GTX 940MX,Windows 10,2.23,141.21,0,Core i5,2.5,616
Lenovo,Notebook,4,Intel HD Graphics 620,Windows 10,1.44,165.63,180,Core i3,2.4,735
Lenovo,Notebook,8,AMD Radeon R5 M430,Windows 10,1.9,141.21,128,Core i5,2.5,817.95
MSI,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.2,141.21,128,Core i7,2.8,1199
Lenovo,Notebook,8,Intel HD Graphics 520,Windows 7,2.02,157.35,256,Core i5,2.3,1340
Lenovo,2 in 1 Convertible,4,Intel HD Graphics 520,Windows 10,1.8,141.21,256,Core i7,2.5,847
HP,Workstation,16,Nvidia Quadro M2200,Windows 10,2.6,141.21,256,Core i7,2.8,2419
Asus,Ultrabook,8,Nvidia GeForce GTX 940M,Windows 10,1.45,165.63,512,Core i5,2.3,1026
MSI,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.43,127.34,256,Core i7,2.6,1948.99
Lenovo,Notebook,8,AMD Radeon R4 Graphics,Windows 10,2.8,106.11,0,A6-Series,2.5,519
Toshiba,Notebook,8,Intel HD Graphics 620,Windows 10,2,141.21,0,Core i5,2.5,860
Dell,Notebook,16,AMD Radeon R7 M445,Windows 10,2.3,141.21,0,Core i7,2.7,859.01
Asus,Notebook,8,Nvidia GeForce GTX 950M,Windows 10,2.69,127.34,256,Core i5,2.5,891
MSI,Gaming,8,Nvidia GeForce GTX 960M,Windows 10,2.9,127.34,128,Core i7,2.6,1511.19
HP,Notebook,4,Intel HD Graphics 520,No OS,2.1,141.21,0,Core i3,2,349
HP,Notebook,8,Nvidia GeForce GTX 930MX,Windows 10,2.5,127.34,128,Core i5,1.6,977
MSI,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,2.9,127.34,256,Core i7,2.8,2029
HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.49,165.63,256,Core i7,2.7,1090
Asus,Notebook,4,Intel HD Graphics 500,Windows 10,1.63,111.94,0,Celeron Dual Core,1.1,299
MSI,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.4,141.21,256,Core i5,2.5,1199
Acer,Notebook,4,Nvidia GeForce MX 130,Windows 10,2.2,141.21,256,Core i3,2.7,572
HP,2 in 1 Convertible,4,Intel HD Graphics 620,Windows 10,2.3,100.45,0,Core i5,2.5,684.8
Lenovo,Notebook,4,Intel HD Graphics 520,Windows 10,2.2,141.21,0,Core i3,2,409
Acer,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,4.2,127.34,256,Core i7,2.8,2299
Acer,Notebook,4,Nvidia GeForce MX150,Windows 10,2.2,141.21,0,Core i5,1.6,613
HP,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.11,165.63,256,Core i7,2.7,1349
Lenovo,Netbook,4,Intel HD Graphics 400,Chrome OS,1.25,135.09,16,Celeron Dual Core,1.6,265
HP,Notebook,8,Nvidia GeForce GTX 1050,Windows 10,2.2,141.21,128,Core i5,2.5,1099
Dell,Ultrabook,16,Intel UHD Graphics 620,Windows 10,1.88,141.21,768,Core i7,1.9,1607.96
Lenovo,Notebook,4,Intel HD Graphics 620,Windows 10,1.5,165.63,128,Core i3,2.4,549
Apple,Ultrabook,8,Intel Iris Plus Graphics 640,macOS,1.37,226.98,128,Core i5,2.3,1339.69
HP,Notebook,4,Intel HD Graphics 520,Windows 10,1.86,100.45,0,Core i3,2,439
Dell,Notebook,8,AMD Radeon R7 M445,Windows 10,2.36,141.21,256,Core i5,2.5,889
Dell,Notebook,8,Intel HD Graphics 520,Windows 10,1.79,111.94,128,Core i3,2.3,740
Dell,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.6,176.23,256,Core i7,2.8,1690
Dell,Workstation,8,Nvidia Quadro M620,Windows 10,2.23,141.21,0,Core i7,2.8,1778
HP,Ultrabook,8,Intel HD Graphics 520,Windows 10,1.54,157.35,512,Core i7,2.5,1468
Acer,Netbook,4,Intel HD Graphics,Windows 10,1.4,135.09,0,Celeron Dual Core,1.6,269
Lenovo,Notebook,4,AMD Radeon R4 Graphics,No OS,2.2,100.45,0,A6-Series,2.9,309
HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.91,100.45,128,Core i5,2.5,589
HP,Notebook,4,Intel HD Graphics 400,No OS,1.86,100.45,0,Celeron Dual Core,1.6,259
Dell,Notebook,8,Intel HD Graphics 620,Windows 10,1.9,141.21,256,Core i5,2.6,1179
Dell,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,4.42,127.34,128,Core i7,2.8,3012.77
Asus,Gaming,8,AMD Radeon RX 560,Windows 10,2.45,141.21,0,FX,3,699
MSI,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.7,127.34,256,Core i7,2.8,1598
Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.23,165.63,256,Core i5,1.6,1399
Dell,2 in 1 Convertible,8,Intel UHD Graphics 620,Windows 10,1.55,165.63,0,Core i5,1.6,659
Asus,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.27,165.63,256,Core i5,2.5,928
Asus,Gaming,16,Nvidia GeForce GTX 980M,Windows 10,4.3,127.34,256,Core i7,2.8,1799
Asus,Gaming,12,Nvidia GeForce GTX 1050 Ti,Linux,3,127.34,0,Core i7,2.8,949
Dell,Notebook,4,AMD Radeon R5 M430,Windows 10,2.2,141.21,0,Core i3,2,449
Asus,Notebook,4,Intel HD Graphics 620,Windows 10,1.3,111.94,128,Core i3,2.4,509
Dell,Notebook,4,AMD Radeon R5 M420,Windows 10,2.18,141.21,256,Core i7,2.7,739
Acer,Notebook,6,Intel HD Graphics 620,Windows 10,2.23,100.45,0,Core i5,2.5,549
Dell,Notebook,4,Intel HD Graphics 620,Windows 10,1.6,111.94,0,Core i5,2.5,875
HP,Notebook,4,Intel HD Graphics 620,Windows 10,1.95,157.35,128,Core i5,2.5,1265
Lenovo,Notebook,8,Intel HD Graphics 620,Windows 10,2.3,141.21,256,Core i5,2.5,911
HP,Notebook,8,Nvidia GeForce GTX 930MX,Windows 10,1.64,157.35,256,Core i5,2.5,1049.26
Lenovo,Notebook,8,Nvidia GeForce 920MX,No OS,2.2,100.45,256,Core i3,2,499
Lenovo,Ultrabook,8,Intel HD Graphics 520,Windows 10,1.3,125.37,180,Core i5,2.3,1099
Dell,2 in 1 Convertible,16,Intel HD Graphics 620,Windows 10,2.09,141.21,512,Core i7,2.7,1179
Asus,Notebook,4,Intel HD Graphics 500,Linux,2,100.45,0,Celeron Dual Core,1.1,274.99
Chuwi,Notebook,6,Intel HD Graphics 500,Windows 10,1.4,267.34,0,Celeron Quad Core,1.1,449
Acer,Notebook,4,Intel HD Graphics 500,Windows 10,2.1,100.45,0,Celeron Dual Core,1.1,348
Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.88,141.21,512,Core i7,1.9,1298
HP,Notebook,4,Intel UHD Graphics 620,Windows 10,2.04,100.45,0,Core i5,1.6,521.47
Lenovo,Notebook,8,Nvidia GeForce MX150,No OS,2.8,106.11,256,Core i5,1.6,698
Asus,Notebook,4,Intel HD Graphics,Windows 10,2.2,100.45,0,Celeron Dual Core,1.6,369
Dell,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,2.3,141.21,256,Core i5,2.7,1094
HP,Notebook,4,Intel UHD Graphics 620,Windows 10,1.49,165.63,0,Core i5,1.6,754
Lenovo,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.38,158.48,256,Core i7,2.7,1349
Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.2,165.63,256,Core i5,1.6,1449.9
Toshiba,Notebook,4,Intel HD Graphics 620,Windows 10,2,100.45,0,Core i3,2.4,489
HP,Notebook,8,Nvidia GeForce GTX 930MX,Windows 10,2.04,141.21,256,Core i5,2.5,889
HP,Notebook,4,Intel HD Graphics 620,Windows 10,2.04,100.45,0,Core i5,2.5,742
HP,Notebook,4,Intel HD Graphics 620,Windows 10,2.04,141.21,256,Core i5,2.5,839
Toshiba,Ultrabook,32,Intel HD Graphics 620,Windows 10,1.05,165.63,512,Core i7,2.7,2799
MSI,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.7,127.34,128,Core i5,2.5,1095
Asus,Gaming,64,Nvidia GeForce GTX 980,Windows 10,3.58,127.34,1024,Core i7,2.7,3975
Lenovo,Ultrabook,12,Intel HD Graphics 520,Windows 10,1.4,157.35,256,Core i7,2.6,1673
Dell,Notebook,16,AMD Radeon 530,Windows 10,2.2,141.21,256,Core i7,1.8,1135
Acer,2 in 1 Convertible,8,Intel HD Graphics 520,Windows 10,1.6,165.63,256,Core i5,2.3,689
Huawei,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.05,199.69,512,Core i7,2.7,1499
Dell,Notebook,8,AMD Radeon R5 520,Windows 10,2.13,141.21,256,Core i5,1.6,728
Acer,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.6,157.35,256,Core i7,1.8,884
Samsung,Ultrabook,16,Nvidia GeForce GTX 940MX,Windows 10,1.23,146.86,256,Core i7,2.7,1849
Toshiba,Notebook,4,Intel HD Graphics 510,Windows 10,1.75,111.94,128,Pentium Dual Core,2.1,499
HP,Notebook,8,Intel HD Graphics 520,Windows 7,1.43,157.35,256,Core i5,2.3,1469
Dell,Notebook,16,Nvidia GeForce MX150,Windows 10,2.77,127.34,512,Core i7,1.8,1549
Dell,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.65,141.21,256,Core i7,2.8,1499
HP,Workstation,8,Nvidia Quadro M1200,Windows 10,3.14,127.34,0,Core i7,2.8,1907.99
MSI,Gaming,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,141.21,256,Core i7,2.8,1299
Toshiba,Notebook,8,Intel HD Graphics 520,Windows 10,1.95,157.35,256,Core i5,2.3,1180
Lenovo,Notebook,4,Intel HD Graphics 505,Windows 10,2.2,141.21,0,Pentium Quad Core,1.1,344
Dell,2 in 1 Convertible,4,Intel HD Graphics 620,Windows 10,1.71,165.63,0,Core i3,2.4,649
HP,Notebook,4,Intel HD Graphics 520,Windows 7,2.31,141.21,0,Core i5,2.3,940
Dell,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.29,276.05,256,Core i7,2.7,1477
Chuwi,Notebook,4,Intel HD Graphics,Windows 10,1.89,141.21,0,Atom,1.44,248.9
HP,Gaming,12,Nvidia GeForce GTX 1060,Windows 10,3.78,127.34,0,Core i7,2.8,1699
HP,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.91,141.21,256,Core i7,1.8,659
HP,Notebook,4,Intel HD Graphics 520,No OS,1.86,100.45,0,Core i3,2,345.99
Dell,Notebook,4,AMD Radeon R7 M445,Windows 10,2.36,106.11,0,Core i3,2,659
HP,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.28,165.63,256,Core i5,2.5,2277
MSI,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,3.78,127.34,256,Core i7,2.8,2499
Dell,Notebook,8,AMD Radeon 530,Windows 10,2.8,127.34,128,Core i5,1.6,1085
HP,Workstation,8,Nvidia Quadro M1000M,Windows 10,2,141.21,8,Core i7,2.7,2249
Vero,Notebook,4,Intel HD Graphics 400,Windows 10,1.35,165.63,0,Atom,1.44,196
Lenovo,Notebook,8,Nvidia GeForce GTX 940MX,Windows 10,1.5,157.35,256,Core i5,2.5,1099
Lenovo,Notebook,4,AMD Radeon R4 Graphics,Windows 10,2.19,100.45,0,A6-Series,2,298
Dell,Notebook,8,AMD Radeon 530,Windows 10,2.36,141.21,128,Core i7,1.8,979
Dell,Notebook,8,AMD Radeon R5 M430,Windows 10,2.24,141.21,0,Core i5,2.5,565
Dell,2 in 1 Convertible,8,Intel HD Graphics 615,Windows 10,1.24,276.05,256,Core i5,1.2,1813
Lenovo,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,3.2,141.21,256,Core i7,2.8,1499
HP,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.2,141.21,128,Core i7,2.8,1099
HP,Ultrabook,4,AMD Radeon R5 520,Windows 10,1.91,141.21,256,A9-Series,3,499
MSI,Gaming,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,127.34,256,Core i7,2.8,1599
Acer,Notebook,4,Intel HD Graphics 520,Windows 10,2.1,100.45,128,Core i3,2,449
Lenovo,Notebook,8,Nvidia GeForce GTX 940MX,No OS,2.2,141.21,0,Core i3,2.4,499
Razer,Ultrabook,8,Intel HD Graphics 520,Windows 10,1.25,352.47,256,Core i7,2.5,1029
Dell,Notebook,4,Intel HD Graphics 520,Windows 7,2.24,100.45,0,Core i5,2.3,737
HP,Ultrabook,8,AMD Radeon R7 M365X,Windows 10,1.84,141.21,256,Core i7,2.5,1296.99
Dell,Notebook,16,AMD Radeon R7 M445,Windows 10,2.3,141.21,256,Core i7,2.7,1181.27
Lenovo,Notebook,8,Intel HD Graphics 520,Windows 10,2.29,100.45,0,Core i3,2.3,459
Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.7,157.35,256,Core i5,1.6,879
Dell,Notebook,8,AMD Radeon R5 520,Linux,2.14,141.21,256,Core i7,1.8,735.07
Asus,Gaming,16,Nvidia GeForce GTX 980M,Windows 10,4.3,127.34,512,Core i7,2.6,2150
Lenovo,Notebook,4,Intel HD Graphics 520,Windows 10,2.8,106.11,0,Core i3,2,489
Toshiba,Notebook,8,Intel HD Graphics 520,Windows 7,1.2,165.63,256,Core i5,2.3,1460
Toshiba,Notebook,8,Intel HD Graphics 620,Windows 10,1.5,165.63,256,Core i5,2.5,973
Dell,Notebook,8,AMD Radeon R7 M445,Windows 10,2.33,141.21,256,Core i7,2.7,899
HP,Ultrabook,8,Intel HD Graphics 520,Windows 7,1.43,157.35,256,Core i7,2.6,1449
Lenovo,Notebook,4,Intel HD Graphics 620,Windows 10,1.85,141.21,0,Core i7,2.7,779
Lenovo,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.36,176.23,256,Core i7,2.7,1650
Asus,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.73,127.34,256,Core i7,2.8,2049.9
Lenovo,Notebook,4,Nvidia GeForce 920M,Windows 10,2.4,141.21,0,Core i5,2.5,609
HP,Notebook,4,AMD Radeon R5 520,Windows 10,1.91,141.21,256,A6-Series,2.5,478.89
Lenovo,Notebook,4,Intel HD Graphics 520,No OS,2.15,141.21,0,Core i5,2.3,462.35
Acer,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.7,141.21,128,Core i7,2.8,1260
HP,Notebook,6,AMD Radeon R7 M440,Windows 10,2.65,127.34,0,A10-Series,2.4,569
MSI,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,1.8,141.21,256,Core i7,2.8,2094.48
Acer,Notebook,4,Nvidia GeForce GTX 940MX,Windows 10,3.3,106.11,0,Core i3,2,598
Dell,Notebook,8,Nvidia GeForce GTX 1060,Windows 10,4.42,127.34,0,Core i7,2.7,2046
MSI,Gaming,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,127.34,256,Core i7,2.8,1349
MSI,Gaming,16,Nvidia GeForce GTX 1050,Windows 10,2.4,141.21,256,Core i7,2.8,1294
Lenovo,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.5,141.21,128,Core i7,2.8,1048
Asus,Notebook,4,Intel HD Graphics 500,Windows 10,2,100.45,0,Celeron Dual Core,1.1,339
Dell,Notebook,8,AMD Radeon R7 M445,Linux,2.32,100.45,0,Core i5,2.5,589.52
Lenovo,Ultrabook,8,AMD Radeon RX 550,Windows 10,1.75,157.35,256,Core i7,1.8,1215.38
